Date,Storage Capacity(10000m^3),Precipitation(mm),Inflow(10000m^3),Outflow(10000m^3),Water Level Difference(m),Real-Time,Water Level(m),Useful Storage(10000m^3),Storage Ratio(%)
2008/1/1,33621.65,0.00,68.60,172.70,--,07:00,164.94,29100.49,86.55 
2008/1/2,33621.65,0.00,61.82,131.12,--,07:00,164.85,29022.51,86.32 
2008/1/3,33621.65,0.00,55.09,158.86,--,07:00,164.73,28918.67,86.01 
2008/1/4,33621.65,2.60,55.42,159.12,--,07:00,164.61,28815.01,85.7 
2008/1/5,33621.65,9.80,64.98,159.78,--,07:00,164.51,28728.76,85.45 
2008/1/6,33621.65,0.20,71.22,131.52,--,07:00,164.44,28668.46,85.27 
2008/1/7,33621.65,0.10,73.53,159.53,--,07:00,164.33,28573.82,84.99 
2008/1/8,33621.65,0.00,58.87,187.67,--,07:00,164.19,28453.58,84.63 
2008/1/9,33621.65,0.00,57.17,160.07,--,07:00,164.06,28342.14,84.3 
2008/1/10,33621.65,0.10,65.67,202.47,--,07:00,163.90,28205.29,83.89 
2008/1/11,33621.65,0.10,49.45,160.35,--,07:00,163.77,28094.35,83.56 
2008/1/12,33621.65,0.00,55.52,174.82,--,07:00,163.63,27975.10,83.21 
2008/1/13,33621.65,6.10,56.07,174.97,--,07:00,163.49,27856.11,82.85 
2008/1/14,33621.65,16.30,61.87,189.17,--,07:00,163.36,27745.82,82.52 
2008/1/15,33621.65,19.90,132.91,132.91,--,07:00,163.40,27779.72,82.62 
2008/1/16,33621.65,11.10,217.05,200.05,--,07:00,163.41,27788.21,82.65 
2008/1/17,33621.65,17.40,212.70,127.90,--,07:00,163.53,27890.07,82.95 
2008/1/18,33621.65,7.50,258.15,130.75,--,07:00,163.67,28009.14,83.31 
2008/1/19,33621.65,14.80,207.23,130.63,--,07:00,163.79,28111.39,83.61 
2008/1/20,33621.65,16.20,403.58,130.38,--,07:00,164.12,28393.55,84.45 
2008/1/21,33621.65,0.30,284.82,130.62,--,07:00,164.25,28505.09,84.78 
2008/1/22,33621.65,3.70,181.52,130.02,--,07:00,164.29,28539.44,84.88 
2008/1/23,33621.65,3.60,140.46,157.56,--,07:00,164.27,28522.27,84.83 
2008/1/24,33621.65,6.40,130.04,130.04,--,07:00,164.28,28530.85,84.86 
2008/1/25,33621.65,8.90,172.79,129.89,--,00:00,164.34,28582.40,85.01 
2008/1/26,33621.65,9.90,181.41,129.81,--,00:00,164.41,28642.60,85.19 
2008/1/27,33621.65,30.00,324.44,238.44,--,07:00,164.39,28625.42,85.14 
2008/1/28,33621.65,8.10,489.61,635.81,--,07:00,164.38,28616.83,85.11 
2008/1/29,33621.65,0.80,325.58,377.08,--,07:00,164.09,28367.84,84.37 
2008/1/30,33621.65,5.50,263.24,554.34,--,07:00,163.92,28222.38,83.94 
2008/1/31,33621.65,10.30,190.49,377.99,--,07:00,163.51,27873.08,82.9 
2008/2/1,33621.65,26.60,291.54,419.14,--,07:00,163.63,27975.10,83.21 
2008/2/2,33621.65,5.60,396.45,379.45,--,07:00,163.42,27796.69,82.67 
2008/2/3,33621.65,1.70,327.46,640.86,--,07:00,163.23,27635.75,82.2 
2008/2/4,33621.65,13.10,264.57,408.07,--,07:00,162.84,27306.77,81.22 
2008/2/5,33621.65,17.10,266.38,644.48,--,07:00,162.64,27138.76,80.72 
2008/2/6,33621.65,25.30,491.53,382.53,--,07:00,162.61,27113.60,80.64 
2008/2/7,33621.65,28.20,554.42,671.82,--,07:00,162.50,27021.44,80.37 
2008/2/8,33621.65,23.10,621.73,671.93,--,07:00,162.44,26971.23,80.22 
2008/2/9,33621.65,38.70,697.61,672.51,--,07:00,162.58,27088.45,80.57 
2008/2/10,33621.65,16.50,864.19,671.29,--,07:00,162.72,27205.91,80.92 
2008/2/11,33621.65,6.70,578.33,670.73,--,07:00,162.54,27054.93,80.47 
2008/2/12,33621.65,11.30,421.11,672.11,--,07:00,162.21,26779.18,79.65 
