Date,Storage Capacity(10000m^3),Precipitation(mm),Inflow(10000m^3),Outflow(10000m^3),Water Level Difference(m),Real-Time,Water Level(m),Useful Storage(10000m^3),Storage Ratio(%)
2005/1/1,20898.00,5.30,239.09,359.42,--,00:00,244.73,23342.02,100 
2005/1/2,20898.00,1.30,205.60,-999.90,--,00:00,244.53,23170.70,100 
2005/1/3,20898.00,0.60,149.00,-999.90,--,00:00,244.57,23204.90,100 
2005/1/4,20898.00,1.00,145.21,101.26,--,00:00,244.60,23230.58,100 
2005/1/5,20898.00,5.20,125.48,64.54,--,00:00,244.68,23299.12,100 
2005/1/6,20898.00,0.50,139.71,113.53,--,00:00,244.71,23324.85,100 
2005/1/7,20898.00,0.00,140.85,131.85,--,00:00,244.72,23333.44,100 
2005/1/8,20898.00,1.20,138.01,137.98,--,00:00,244.67,23290.55,100 
2005/1/9,20898.00,1.70,149.08,174.70,--,00:00,244.60,23230.58,100 
2005/1/10,20898.00,2.30,144.76,229.82,--,00:00,244.57,23204.91,100 
2005/1/11,20898.00,1.80,119.98,162.43,--,00:00,244.54,23179.25,100 
2005/1/12,20898.00,2.30,137.66,171.68,--,00:00,244.50,23145.07,100 
2005/1/13,20898.00,3.20,142.18,235.87,--,00:00,244.40,23059.75,100 
2005/1/14,20898.00,18.50,170.11,186.97,--,00:00,244.40,23059.75,100 
2005/1/15,20898.00,8.60,252.36,64.54,--,00:00,244.57,23204.91,100 
2005/1/16,20898.00,0.80,247.21,186.97,--,00:00,244.58,23299.12,100 
2005/1/17,20898.00,0.20,185.98,168.57,--,00:00,244.67,23290.55,100 
2005/1/18,20898.00,0.00,137.09,76.81,--,00:00,244.76,23367.78,100 
2005/1/19,20898.00,0.00,167.35,235.87,--,00:00,244.67,23290.55,100 
2005/1/20,20898.00,0.00,124.68,64.54,--,00:00,244.74,23350.61,100 
2005/1/21,20898.00,2.30,116.24,64.54,--,00:00,244.72,23333.44,100 
2005/1/22,20898.00,0.50,141.61,235.87,--,00:00,244.69,23307.70,100 
2005/1/23,20898.00,3.30,125.29,64.54,--,00:00,244.76,23367.78,100 
2005/1/24,20898.00,0.30,144.66,186.97,--,00:00,244.62,23247.70,100 
2005/1/25,20898.00,2.10,122.30,199.15,--,00:00,244.61,23239.14,100 
2005/1/26,20898.00,0.00,112.27,76.29,--,00:00,244.56,23196.35,100 
2005/1/27,20898.00,0.50,127.08,271.73,--,00:00,244.48,23127.99,100 
2005/1/28,20898.00,0.00,99.75,73.35,--,00:00,244.49,23136.53,100 
2005/1/29,20898.00,0.10,115.86,243.65,--,00:00,244.33,23000.14,100 
2005/1/30,20898.00,0.00,102.97,102.90,--,00:00,244.36,23025.68,100 
2005/1/31,20898.00,1.20,109.66,109.04,--,00:00,244.27,22949.12,100 
2005/2/1,20898.00,2.00,102.11,280.37,--,00:00,244.15,22847.29,100 
2005/2/2,20898.00,0.80,96.47,96.34,--,00:00,244.13,22830.34,100 
2005/2/3,20898.00,1.60,129.65,281.75,--,00:00,243.95,22678.17,100 
2005/2/4,20898.00,0.50,96.01,104.28,--,00:00,243.94,22669.73,100 
2005/2/5,20898.00,3.70,132.62,275.62,--,00:00,243.77,22526.61,100 
2005/2/6,20898.00,0.00,103.41,128.48,--,00:00,243.67,22442.67,100 
2005/2/7,20898.00,0.00,133.69,359.51,--,00:00,243.40,22216.98,100 
2005/2/8,20898.00,0.00,104.74,187.83,--,00:00,243.38,22200.31,100 
2005/2/9,20898.00,0.30,108.38,183.00,--,00:00,243.21,22058.98,100 
2005/2/10,20898.00,0.00,110.46,218.25,--,00:00,243.18,22034.09,100 
2005/2/11,20898.00,0.40,105.49,129.86,--,00:00,243.05,21926.45,100 
2005/2/12,20898.00,0.30,107.68,214.70,--,00:00,243.01,21893.39,100 
2005/2/13,20898.00,0.60,101.84,117.85,--,00:00,242.90,21802.63,100 
2005/2/14,20898.00,0.70,111.01,291.69,--,00:00,242.77,21695.67,100 
2005/2/15,20898.00,0.20,94.37,76.46,--,00:00,242.69,21630.00,100 
2005/2/16,20898.00,0.00,105.24,342.23,--,00:00,242.47,21450.03,100 
2005/2/17,20898.00,0.10,83.40,-999.90,--,00:00,242.33,21336.00,100 
2005/2/18,20898.00,7.20,136.98,412.73,--,00:00,242.03,21092.78,100 
2005/2/19,20898.00,47.10,231.12,400.46,--,00:00,242.00,21068.55,100 
2005/2/20,20898.00,29.40,565.41,201.05,--,00:00,242.47,21450.03,100 
2005/2/21,20898.00,24.60,541.86,198.55,--,00:00,242.86,21769.69,100 
2005/2/22,20898.00,8.30,495.45,206.84,--,00:00,243.14,22000.94,100 
2005/2/23,20898.00,3.10,441.43,275.44,--,00:00,243.31,22142.05,100 
2005/2/24,20898.00,0.50,341.30,257.90,--,00:00,243.39,22208.64,100 
2005/2/25,20898.00,37.20,333.70,-999.90,--,23:00,244.41,23068.30,100 
2005/2/26,20898.00,36.10,1206.00,455.50,--,23:00,243.50,22300.40,100 
2005/2/27,20898.00,35.30,1032.11,1782.52,--,10:00,243.37,22192.00,100 
2005/2/28,20898.00,36.10,1477.78,1685.84,--,00:00,243.20,22050.68,100 
2005/3/1,20898.00,24.00,1756.77,1681.78,--,23:00,243.01,21893.40,100 
2005/3/2,20898.00,17.70,1430.76,1704.07,--,23:00,242.97,21860.40,100 
2005/3/3,20898.00,44.10,1715.79,1715.64,--,20:00,243.90,226360.00,100 
2005/3/4,20898.00,53.70,2844.34,2068.24,--,00:00,243.78,22535.01,100 
2005/3/5,20898.00,1.90,1885.79,2454.36,--,00:00,243.02,21901.65,100 
2005/3/6,20898.00,7.50,1206.02,1806.62,--,00:00,242.72,21654.61,100 
2005/3/7,20898.00,0.60,899.90,398.04,--,00:00,243.25,22092.18,100 
2005/3/8,20898.00,0.00,694.60,-999.90,--,00:00,243.84,22585.50,100 
2005/3/9,20898.00,0.00,608.38,287.88,--,00:00,244.17,22864.24,100 
2005/3/10,20898.00,0.00,550.07,226.71,--,00:00,244.52,23162.16,100 
2005/3/11,20898.00,0.90,518.93,398.04,--,00:00,244.64,23264.83,100 
2005/3/12,20898.00,5.10,509.20,-999.90,--,00:00,244.08,22788.00,100 
2005/3/13,20898.00,17.20,483.53,1728.17,--,00:00,242.71,21646.41,100 
