Date,Storage Capacity(10000m^3),Precipitation(mm),Inflow(10000m^3),Outflow(10000m^3),Water Level Difference(m),Real-Time,Water Level(m),Useful Storage(10000m^3),Storage Ratio(%)
2003/1/1,--,--,--,--,--,08:00,1392.41,9607.26,--
2003/1/2,--,--,--,--,--,08:00,1392.58,9665.86,--
2003/1/3,--,--,--,--,--,08:00,1392.7,9707.22,--
2003/1/4,--,--,--,--,--,08:00,1392.86,9762.37,--
2003/1/5,--,--,--,--,--,08:00,1392.94,9789.95,--
2003/1/6,--,--,--,--,--,08:00,1393.04,9824.42,--
2003/1/7,--,--,--,--,--,08:00,1393.13,9855.44,--
2003/1/8,--,--,--,--,--,08:00,1393.34,9927.83,--
2003/1/9,--,--,--,--,--,08:00,1393.55,10000.21,--
2003/1/10,--,--,--,--,--,08:00,1393.65,10034.68,--
2003/1/11,--,--,--,--,--,08:00,1393.76,10072.6,--
2003/1/12,--,--,--,--,--,08:00,1393.85,10103.62,--
2003/1/13,--,--,--,--,--,08:00,1394.0,10155.33,--
2003/1/14,--,--,--,--,--,08:00,1394.12,10196.69,--
2003/1/15,--,--,--,--,--,08:00,1394.25,10241.5,--
2003/1/16,--,--,--,--,--,08:00,1394.2,10224.27,--
2003/1/17,--,--,--,--,--,08:00,1394.2,10224.27,--
2003/1/18,--,--,--,--,--,08:00,1394.25,10241.5,--
2003/1/19,--,--,--,--,--,08:00,1394.2,10224.27,--
2003/1/20,--,--,--,--,--,08:00,1394.2,10224.27,--
2003/1/21,--,0.40,68.30,68.30,--,00:00,1394.2,11367.8,--
2003/1/22,--,--,--,--,--,08:00,1394.21,10227.71,--
2003/1/23,--,5.30,6.91,6.91,--,00:00,1394.21,11371.43,--
2003/1/24,--,0.00,69.98,51.84,--,00:00,1394.26,11389.6,--
2003/1/25,--,0.00,76.90,65.66,--,00:00,1394.29,11400.5,--
2003/1/26,--,--,--,--,--,08:00,1394.27,10248.4,--
2003/1/27,--,--,--,--,--,08:00,1394.3,10258.74,--
2003/1/28,--,5.00,56.16,30.24,--,00:00,1394.37,11429.61,--
2003/1/29,--,0.30,55.30,29.38,--,00:00,1394.44,11455.1,--
2003/1/30,--,0.00,60.00,43.20,--,00:00,1394.46,11462.39,--
2003/1/31,--,0.00,47.52,32.83,--,00:00,1394.5,11476.98,--
2003/2/1,--,-999.90,45.79,47.52,--,00:00,1394.49,11473.33,--
2003/2/2,--,0.00,6.60,5.80,--,00:00,1394.5,11476.98,--
2003/2/3,--,0.00,27.70,42.30,--,00:00,1394.39,11462.39,--
2003/2/4,--,-999.90,28.51,31.97,--,00:00,1394.45,11458.75,--
2003/2/5,--,-999.90,40.61,36.29,--,00:00,1394.46,11462.39,--
2003/2/6,--,0.00,40.61,29.38,--,00:00,1394.49,11473.33,--
2003/2/7,--,0.00,32.00,17.20,--,00:00,1394.53,11487.93,--
2003/2/8,--,0.00,35.42,16.42,--,00:00,1394.58,11506.18,--
2003/2/9,--,15.20,41.47,19.01,--,00:00,1394.64,11528.11,--
2003/2/10,--,0.00,63.94,48.38,--,00:00,1394.68,11542.73,--
2003/2/11,--,0.00,50.90,35.40,--,00:00,1394.72,11557.37,--
2003/2/12,--,0.00,38.02,38.02,--,00:00,1394.72,11557.37,--
2003/2/13,--,0.00,48.38,74.30,--,00:00,1394.65,11531.76,--
2003/2/14,--,--,--,--,--,08:00,1394.58,10355.25,--
2003/2/15,--,0.00,52.70,63.94,--,00:00,1394.55,11495.23,--
2003/2/16,--,0.00,48.38,40.61,--,00:00,1394.57,11502.53,--
2003/2/17,--,0.00,52.70,63.94,--,00:00,1394.55,11495.23,--
2003/2/18,--,0.00,37.15,48.38,--,00:00,1394.54,11491.58,--
