Date,Storage Capacity(10000m^3),Precipitation(mm),Inflow(10000m^3),Outflow(10000m^3),Water Level Difference(m),Real-Time,Water Level(m),Useful Storage(10000m^3),Storage Ratio(%)
2010/1/1,33621.65,0.00,141.36,123.66,--,23:00,166.50,30467.07,90.62 
2010/1/2,33621.65,0.20,114.90,123.80,--,23:00,166.49,30458.23,90.59 
2010/1/3,33621.65,7.30,123.55,123.55,--,23:00,166.50,30467.07,90.62 
2010/1/4,33621.65,5.50,132.56,123.66,--,23:00,166.49,30458.23,90.59 
2010/1/5,33621.65,0.00,113.82,122.72,--,23:00,166.48,30449.39,90.56 
2010/1/6,33621.65,6.40,114.96,123.76,--,23:00,166.49,30458.23,90.59 
2010/1/7,33621.65,16.50,133.00,123.90,--,23:00,166.55,30511.20,90.75 
2010/1/8,33621.65,27.50,369.58,307.68,--,23:00,166.94,30856.90,91.78 
2010/1/9,33621.65,33.70,720.42,383.52,--,23:00,166.88,30803.60,91.62 
2010/1/10,33621.65,2.50,560.09,613.39,--,23:00,166.89,30812.50,91.64 
2010/1/11,33621.65,5.00,337.23,328.43,--,23:00,166.78,30714.90,91.35 
2010/1/12,33621.65,9.30,259.25,383.35,--,23:00,166.58,30537.80,90.83 
2010/1/13,33621.65,11.10,300.00,450.86,--,23:00,166.50,30467.00,90.62 
2010/1/14,33621.65,0.20,258.00,328.59,--,23:00,166.39,30369.90,90.33 
2010/1/15,33621.65,0.10,194.00,300.47,--,23:00,166.19,30193.50,89.8 
2010/1/16,33621.65,0.30,189.00,382.73,--,23:00,165.65,29719.30,88.39 
2010/1/17,33621.65,9.50,196.00,670.74,--,23:00,165.33,29439.70,87.56 
2010/1/18,33621.65,4.20,157.00,419.55,--,23:00,165.28,29396.10,87.43 
2010/1/19,33621.65,0.10,124.00,159.17,--,23:00,165.31,29422.30,87.51 
2010/1/20,33621.65,0.00,93.00,75.54,--,23:00,165.26,29378.70,87.38 
2010/1/21,33621.65,0.00,97.00,132.27,--,23:00,165.27,29387.40,87.41 
2010/1/22,33621.65,5.30,76.00,75.94,--,23:00,165.26,29378.70,87.38 
2010/1/23,33621.65,12.50,95.00,104.12,--,23:00,165.29,29404.90,87.46 
2010/1/24,33621.65,10.30,139.00,103.85,--,23:00,165.41,29509.50,87.77 
2010/1/25,33621.65,7.30,217.00,104.05,--,23:00,165.54,29623.10,88.11 
2010/1/26,33621.65,8.50,195.00,89.93,--,23:00,165.63,29701.80,88.34 
2010/1/27,33621.65,2.20,155.00,75.76,--,23:00,165.65,29719.30,88.39 
2010/1/28,33621.65,0.10,127.00,117.83,--,23:00,165.66,29728.10,88.42 
2010/1/29,33621.65,2.90,113.00,103.81,--,23:00,165.63,29701.80,88.34 
2010/1/30,33621.65,1.80,114.00,131.83,--,23:00,165.60,29675.60,88.26 
2010/1/31,33621.65,0.00,91.00,117.72,--,23:00,165.52,29605.60,88.06 
2010/2/1,33621.65,0.10,81.00,159.94,--,23:00,165.43,29527.00,87.82 
2010/2/2,33621.65,1.50,82.00,160.31,--,23:00,165.35,29457.20,87.61 
2010/2/3,33621.65,0.80,71.00,132.20,--,23:00,165.23,29352.60,87.3 
2010/2/4,33621.65,4.20,75.00,188.46,--,23:00,165.13,29265.50,87.04 
2010/2/5,33621.65,1.20,73.00,160.41,--,23:00,165.01,29161.20,86.73 
2010/2/6,33621.65,1.00,71.00,174.78,--,23:00,164.90,29065.80,86.45 
2010/2/7,33621.65,7.10,80.00,174.93,--,23:00,164.83,29005.10,86.27 
2010/2/8,33621.65,6.70,86.00,146.55,--,23:00,164.68,28875.40,85.88 
2010/2/9,33621.65,0.20,88.00,217.44,--,23:00,164.57,28780.50,85.6 
2010/2/10,33621.65,0.30,75.00,161.29,--,23:00,164.42,28651.20,85.22 
2010/2/11,33621.65,0.10,66.00,203.77,--,23:00,164.30,28548.00,84.91 
2010/2/12,33621.65,0.80,72.00,175.51,--,23:00,164.14,28410.60,84.5 
2010/2/13,33621.65,7.40,69.00,205.98,--,23:00,164.05,28333.50,84.27 
2010/2/14,33621.65,24.80,137.00,206.07,--,23:00,164.04,28324.90,84.25 
2010/2/15,33621.65,0.40,155.00,163.45,--,23:00,164.02,28307.80,84.2 
2010/2/16,33621.65,15.60,146.00,163.25,--,23:00,164.27,28522.20,84.83 
2010/2/17,33621.65,59.30,633.00,418.74,--,23:00,164.90,29065.80,86.45 
2010/2/18,33621.65,56.90,1244.00,682.50,--,23:00,165.52,29605.60,88.06 
2010/2/19,33621.65,37.70,1209.00,677.96,--,23:00,166.35,30334.60,90.22 
2010/2/20,33621.65,55.10,1403.00,673.82,--,23:00,166.74,30679.40,91.25 
2010/2/21,33621.65,7.60,998.00,671.24,--,23:00,166.59,30546.60,90.85 
2010/2/22,33621.65,0.00,521.00,671.04,--,23:00,166.22,30219.90,89.88 
2010/2/23,33621.65,0.10,346.00,672.85,--,23:00,165.75,29806.90,88.65 
2010/2/24,33621.65,0.20,262.00,675.06,--,23:00,165.23,29352.60,87.3 
2010/2/25,33621.65,0.00,224.00,677.92,--,23:00,164.67,28866.80,85.86 
2010/2/26,33621.65,0.10,196.00,681.73,--,23:00,164.08,28359.20,84.35 
2010/2/27,33621.65,0.10,178.00,685.01,--,23:00,163.70,28034.60,83.38 
2010/2/28,33621.65,0.00,133.00,431.50,--,23:00,163.61,27958.00,83.15 
2010/3/1,33621.65,0.40,87.00,163.81,--,23:00,163.40,27779.70,82.62 
2010/3/2,33621.65,0.10,92.00,279.14,--,23:00,163.18,27593.40,82.07 
2010/3/3,33621.65,0.40,91.00,277.55,--,23:00,162.99,27433.10,81.59 
2010/3/4,33621.65,0.30,91.00,276.31,--,23:00,162.75,27231.10,80.99 
2010/3/5,33621.65,0.10,77.00,279.15,--,23:00,162.51,27029.80,80.39 
2010/3/6,33621.65,0.00,81.00,282.25,--,23:00,162.22,26787.50,79.67 
2010/3/7,33621.65,1.00,75.00,283.79,--,23:00,161.97,26579.40,79.05 
2010/3/8,33621.65,2.00,73.00,281.48,--,23:00,161.84,26471.40,78.73 
2010/3/9,33621.65,2.50,49.00,165.30,--,23:00,161.73,26380.10,78.46 
2010/3/10,33621.65,19.70,91.00,182.78,--,23:00,161.66,26322.10,78.29 
2010/3/11,33621.65,0.00,70.00,128.32,--,23:00,161.46,26156.70,77.8 
2010/3/12,33621.65,0.20,74.00,238.95,--,23:00,161.35,26066.00,77.53 
2010/3/13,33621.65,0.00,60.00,142.23,--,23:00,161.25,25983.60,77.28 
2010/3/14,33621.65,15.10,74.00,156.11,--,23:00,161.15,25901.30,77.04 
2010/3/15,33621.65,0.00,66.00,156.29,--,23:00,161.02,25794.40,76.72 
2010/3/16,33621.65,6.50,79.00,185.35,--,23:00,160.91,25704.20,76.45 
2010/3/17,33621.65,3.30,67.00,157.53,--,23:00,160.79,25605.90,76.16 
2010/3/18,33621.65,0.70,59.00,157.77,--,23:00,160.67,25507.80,75.87 
2010/3/19,33621.65,0.00,69.00,159.27,--,23:00,160.55,25409.80,75.58 
2010/3/20,33621.65,0.10,52.00,158.43,--,23:00,160.42,25303.90,75.26 
2010/3/21,33621.65,0.20,62.00,159.71,--,23:00,160.27,25181.90,74.9 
2010/3/22,33621.65,1.20,56.00,186.42,--,23:00,160.12,25060.10,74.54 
2010/3/23,33621.65,1.10,51.00,172.93,--,23:00,159.97,24938.60,74.17 
2010/3/24,33621.65,0.10,52.00,173.56,--,23:00,159.81,24809.10,73.79 
2010/3/25,33621.65,0.10,52.00,173.26,--,23:00,159.66,24688.00,73.43 
2010/3/26,33621.65,3.60,45.00,174.10,--,23:00,159.52,24575.10,73.09 
2010/3/27,33621.65,0.00,48.00,160.39,--,23:00,159.36,24446.30,72.71 
2010/3/28,33621.65,0.00,45.00,173.96,--,23:00,159.20,24317.70,72.33 
2010/3/29,33621.65,2.50,46.00,174.23,--,23:00,159.02,24173.40,71.9 
2010/3/30,33621.65,1.80,44.00,188.49,--,23:00,158.85,24037.50,71.49 
2010/3/31,33621.65,0.50,39.00,174.72,--,23:00,158.65,23878.10,71.02 
2010/4/1,33621.65,0.00,44.00,203.22,--,23:00,158.46,23727.00,70.57 
2010/4/2,33621.65,0.00,39.00,189.54,--,23:00,158.26,23568.40,70.1 
2010/4/3,33621.65,13.40,60.00,218.25,--,23:00,158.15,23481.40,69.84 
2010/4/4,33621.65,8.40,47.00,133.61,--,23:00,158.00,23362.90,69.49 
2010/4/5,33621.65,2.00,72.00,190.37,--,23:00,157.87,23260.50,69.18 
2010/4/6,33621.65,6.90,74.00,176.50,--,23:00,157.68,23111.30,68.74 
2010/4/7,33621.65,13.90,78.00,219.27,--,23:00,157.63,23072.10,68.62 
2010/4/8,33621.65,8.20,103.00,142.34,--,23:00,157.58,23032.90,68.51 
2010/4/9,33621.65,17.70,119.00,158.10,--,23:00,157.68,23111.30,68.74 
2010/4/10,33621.65,1.20,118.00,47.44,--,23:00,157.62,23064.20,68.6 
2010/4/11,33621.65,0.20,119.00,158.15,--,23:00,157.57,23025.00,68.48 
2010/4/12,33621.65,0.00,87.00,134.37,--,23:00,157.45,22931.20,68.2 
2010/4/13,33621.65,0.00,88.00,173.80,--,23:00,157.35,22853.10,67.97 
2010/4/14,33621.65,3.10,72.00,157.87,--,23:00,157.21,22743.90,67.65 
2010/4/15,33621.65,4.10,80.00,189.28,--,23:00,157.13,22681.70,67.46 
2010/4/16,33621.65,9.50,87.00,141.85,--,23:00,157.05,22619.50,67.28 
2010/4/17,33621.65,3.30,97.00,159.61,--,23:00,156.96,22549.70,67.07 
2010/4/18,33621.65,0.60,94.00,164.08,--,23:00,156.84,22456.90,66.79 
2010/4/19,33621.65,7.50,92.00,193.08,--,23:00,156.74,22379.70,66.56 
2010/4/20,33621.65,0.20,95.00,164.12,--,23:00,156.60,22271.90,66.24 
2010/4/21,33621.65,1.00,78.00,193.11,--,23:00,156.46,22164.40,65.92 
2010/4/22,33621.65,0.10,79.00,178.72,--,23:00,156.38,22103.10,65.74 
2010/4/23,33621.65,29.10,140.00,193.83,--,23:00,156.58,22256.60,66.2 
2010/4/24,33621.65,14.40,282.00,135.79,--,23:00,156.72,22364.30,66.52 
2010/4/25,33621.65,1.60,222.00,106.90,--,23:00,156.74,22379.70,66.56 
2010/4/26,33621.65,0.30,157.00,149.73,--,23:00,156.69,22341.20,66.45 
2010/4/27,33621.65,1.10,117.00,163.18,--,23:00,156.62,22287.30,66.29 
2010/4/28,33621.65,5.90,111.00,164.50,--,23:00,156.58,22256.60,66.2 
2010/4/29,33621.65,11.20,113.00,135.78,--,23:00,156.48,22179.80,65.97 
2010/4/30,33621.65,0.60,80.00,164.79,--,23:00,156.38,22103.10,65.74 
2010/5/1,33621.65,6.00,88.00,165.02,--,23:00,156.25,22003.70,65.45 
2010/5/2,33621.65,0.00,65.00,164.75,--,23:00,156.10,21889.30,65.1 
2010/5/3,33621.65,0.70,65.00,179.65,--,23:00,155.95,21775.20,64.77 
2010/5/4,33621.65,0.00,66.00,180.01,--,23:00,155.76,21631.30,64.34 
2010/5/5,33621.65,0.00,58.00,194.46,--,18:00,155.57,21487.80,63.91 
2010/5/6,33621.65,0.10,52.00,195.13,--,23:00,155.44,21390.00,63.62 
2010/5/7,33621.65,27.20,90.00,195.54,--,23:00,155.34,21315.00,63.4 
2010/5/8,33621.65,2.20,91.00,166.29,--,23:00,155.17,21187.70,63.02 
2010/5/9,33621.65,0.70,69.00,196.09,--,23:00,154.99,21053.50,62.62 
2010/5/10,33621.65,0.50,62.00,196.48,--,23:00,154.83,20934.60,62.27 
2010/5/11,33621.65,22.90,85.00,196.63,--,23:00,154.79,20905.00,62.18 
2010/5/12,33621.65,7.30,138.00,167.64,--,23:00,154.66,20808.80,61.89 
2010/5/13,33621.65,0.20,101.00,196.89,--,23:00,154.50,20690.80,61.54 
2010/5/14,33621.65,0.80,87.00,212.19,--,23:00,154.33,20565.90,61.17 
2010/5/15,33621.65,0.30,74.00,199.43,--,23:00,154.23,20492.70,60.95 
2010/5/16,33621.65,0.40,66.00,139.07,--,23:00,154.01,20332.10,60.47 
2010/5/17,33621.65,0.10,67.00,227.91,--,23:00,153.78,20164.80,59.98 
2010/5/18,33621.65,0.10,62.00,229.20,--,23:00,153.56,20005.40,59.5 
2010/5/19,33621.65,0.00,62.00,214.48,--,23:00,153.31,19825.20,58.97 
2010/5/20,33621.65,1.30,57.00,244.87,--,23:00,153.08,19660.10,58.47 
2010/5/21,33621.65,1.30,50.00,215.32,--,23:00,152.85,19495.90,57.99 
2010/5/22,33621.65,12.20,59.00,215.97,--,23:00,152.63,19339.60,57.52 
2010/5/23,33621.65,0.10,68.00,231.45,--,23:00,152.45,19212.30,57.14 
2010/5/24,33621.65,31.60,96.00,216.35,--,23:00,152.39,19170.00,57.02 
2010/5/25,33621.65,0.20,92.00,141.76,--,23:00,152.17,19015.30,56.56 
2010/5/26,33621.65,0.00,84.00,232.19,--,23:00,151.95,18861.20,56.1 
2010/5/27,33621.65,0.10,64.00,217.90,--,23:00,151.73,18707.60,55.64 
2010/5/28,33621.65,13.60,73.00,233.43,--,23:00,151.53,18568.50,55.23 
2010/5/29,33621.65,3.40,65.00,203.80,--,23:00,151.77,18735.50,55.72 
2010/5/30,33621.65,45.60,279.00,98.00,--,23:00,152.05,18931.20,56.31 
2010/5/31,33621.65,12.40,217.00,21.68,--,23:00,152.15,19001.20,56.51 
2010/6/1,33621.65,0.20,190.00,127.14,--,23:00,152.13,18987.20,56.47 
2010/6/2,33621.65,0.00,143.00,157.33,--,23:00,152.08,18952.20,56.37 
2010/6/3,33621.65,13.60,122.00,157.16,--,23:00,152.24,19064.40,56.7 
2010/6/4,33621.65,32.30,270.00,157.36,--,23:00,152.43,19198.20,57.1 
2010/6/5,33621.65,7.50,298.00,157.00,--,23:00,152.62,19332.60,57.5 
2010/6/6,33621.65,25.00,299.00,157.10,--,12:00,152.86,19503.00,58.01 
2010/6/7,33621.65,5.80,427.00,156.31,--,23:00,153.19,19739.00,58.71 
2010/6/8,33621.65,0.10,285.00,155.69,--,23:00,153.22,19760.50,58.77 
2010/6/9,33621.65,0.00,192.00,155.69,--,23:00,153.22,19760.50,58.77 
2010/6/10,33621.65,0.40,149.00,170.34,--,23:00,153.21,19753.30,58.75 
2010/6/11,33621.65,22.80,148.00,155.58,--,23:00,153.33,19839.60,59.01 
2010/6/12,33621.65,15.70,242.00,155.30,--,23:00,153.40,19890.00,59.16 
2010/6/13,33621.65,8.30,206.00,155.39,--,23:00,153.51,19969.30,59.39 
2010/6/14,33621.65,18.10,235.00,155.26,--,23:00,153.69,20099.50,59.78 
2010/6/15,33621.65,15.30,293.00,155.05,--,23:00,153.87,20230.10,60.17 
2010/6/16,33621.65,2.00,278.00,154.57,--,23:00,153.94,20281.10,60.32 
2010/6/17,33621.65,0.10,205.00,154.23,--,23:00,153.95,20288.40,60.34 
2010/6/18,33621.65,1.90,162.00,154.38,--,23:00,153.92,20266.50,60.28 
2010/6/19,33621.65,0.00,125.00,154.27,--,23:00,153.85,20215.60,60.13 
2010/6/20,33621.65,0.00,110.00,153.84,--,23:00,153.71,20114.00,59.82 
2010/6/21,33621.65,0.10,99.00,200.69,--,23:00,153.87,20230.10,60.17 
2010/6/22,33621.65,50.40,308.00,169.74,--,23:00,154.76,20882.80,62.11 
2010/6/23,33621.65,60.70,822.00,154.12,--,23:00,155.46,21405.10,63.66 
2010/6/24,33621.65,39.20,741.00,225.46,--,23:00,155.96,21782.80,64.79 
