Date,Storage Capacity(10000m^3),Precipitation(mm),Inflow(10000m^3),Outflow(10000m^3),Water Level Difference(m),Real-Time,Water Level(m),Useful Storage(10000m^3),Storage Ratio(%)
2016/1/1,9713.48,0.00,0.30,41.90,--,07:00,175.18,7384.25,76.02 
2016/1/2,9713.48,6.40,0.30,42.00,--,07:00,175.09,7342.62,75.59 
2016/1/3,9713.48,62.30,101.90,37.10,--,06:00,175.02,7310.20,75.26 
2016/1/4,9713.48,0.00,0.30,41.90,--,06:00,175.16,7375.00,75.93 
2016/1/5,9713.48,0.00,47.40,42.80,--,07:00,175.07,7333.40,75.5 
2016/1/6,9713.48,6.40,47.70,43.10,--,06:00,175.08,7338.00,75.54 
2016/1/7,9713.48,0.00,36.00,40.60,--,07:00,175.09,7342.60,75.59 
2016/1/8,9713.48,6.50,36.80,46.10,--,07:00,175.08,7338.00,75.54 
2016/1/9,9713.48,0.00,33.70,52.20,--,07:00,175.06,7328.70,75.45 
2016/1/10,9713.48,0.00,25.20,38.90,--,07:00,175.02,7310.20,75.26 
2016/1/11,9713.48,14.80,29.10,42.50,--,07:00,174.99,7296.50,75.12 
2016/1/12,9713.48,0.00,39.80,39.80,--,07:00,174.96,7283.10,74.98 
2016/1/13,9713.48,6.20,36.70,41.20,--,07:00,174.96,7283.10,74.98 
2016/1/14,9713.48,0.50,35.50,40.00,--,07:00,174.95,7278.60,74.93 
2016/1/15,9713.48,7.40,29.10,42.50,--,07:00,174.94,7274.10,74.89 
2016/1/16,9713.48,0.80,55.90,42.50,--,07:00,174.91,7260.10,74.74 
2016/1/17,9713.48,15.70,89.60,39.60,--,07:00,174.94,7274.10,74.89 
2016/1/18,9713.48,0.00,124.30,38.50,--,07:00,175.05,7324.10,75.4 
2016/1/19,9713.48,0.00,89.90,41.20,--,07:00,175.23,7407.40,76.26 
2016/1/20,9713.48,0.00,69.00,27.50,--,06:00,175.33,7453.60,76.73 
2016/1/21,9713.48,0.50,63.20,45.20,--,06:00,175.41,7490.60,77.12 
2016/1/22,9713.48,4.30,51.20,47.10,--,07:00,175.44,7504.50,77.26 
2016/1/23,9713.48,21.50,78.00,41.40,--,07:00,175.44,7504.50,77.26 
2016/1/24,9713.48,23.60,164.20,43.90,--,06:00,175.51,7536.90,77.59 
2016/1/25,9713.48,0.00,152.80,51.50,--,06:00,175.77,7657.20,78.83 
2016/1/26,9713.48,0.00,144.40,50.50,--,07:00,175.98,7754.30,79.83 
2016/1/27,9713.48,0.50,112.60,55.80,--,06:00,176.17,7843.90,80.75 
2016/1/28,9713.48,7.90,114.80,53.30,--,07:00,176.29,7900.70,81.34 
2016/1/29,9713.48,43.40,187.60,50.40,--,07:00,176.42,7962.20,81.97 
2016/1/30,9713.48,9.10,251.30,41.90,--,07:00,176.71,8099.40,83.38 
2016/1/31,9713.48,0.00,206.00,51.90,--,07:00,177.15,8308.80,85.54 
2016/2/1,9713.48,0.00,145.50,49.10,--,07:00,177.53,8491.81,87.42 
2016/2/2,9713.48,0.20,129.10,47.30,--,07:00,177.67,8559.30,88.12 
2016/2/3,9713.48,0.00,99.60,51.40,--,06:00,177.84,8641.10,88.96 
2016/2/4,9713.48,0.00,100.80,52.30,--,06:00,177.94,8689.30,89.46 
2016/2/5,9713.48,10.90,108.20,54.20,--,07:00,178.04,8737.80,89.96 
2016/2/6,9713.48,1.50,101.30,32.60,--,07:00,178.15,8791.80,90.51 
2016/2/7,9713.48,0.00,114.60,50.80,--,07:00,178.32,8860.53,91.22 
2016/2/8,9713.48,0.00,118.80,50.10,--,07:00,178.46,8943.46,92.07 
2016/2/9,9713.48,0.00,87.70,53.30,--,07:00,178.56,8993.00,92.58 
2016/2/10,9713.48,0.00,57.60,52.40,--,07:00,178.63,9027.40,92.94 
2016/2/11,9713.48,10.50,10.70,45.10,--,07:00,178.62,9022.49,92.89 
2016/2/12,9713.48,0.20,3.30,47.40,--,06:00,178.56,8994.70,92.6 
2016/2/13,9713.48,0.00,8.40,52.60,--,07:00,178.48,8953.80,92.18 
2016/2/14,9713.48,0.00,0.60,54.60,--,06:00,178.39,8909.60,91.72 
2016/2/15,9713.48,1.40,2.50,53.50,--,07:00,178.28,8855.60,91.17 
2016/2/16,9713.48,0.20,2.50,54.50,--,07:00,178.16,8796.13,90.56 
2016/2/17,9713.48,0.00,32.50,57.10,--,07:00,178.05,8742.80,90.01 
