Date,Storage Capacity(10000m^3),Precipitation(mm),Inflow(10000m^3),Outflow(10000m^3),Water Level Difference(m),Real-Time,Water Level(m),Useful Storage(10000m^3),Storage Ratio(%)
2014/1/1,20834.50,0.00,223.34,335.83,-0.13,23:00,244.71,20576.75,98.76 
2014/1/2,20834.50,0.00,196.65,335.83,-0.16,23:00,244.56,20444.27,98.13 
2014/1/3,20834.50,0.10,199.24,52.71,0.15,23:00,244.73,20594.46,98.85 
2014/1/4,20834.50,0.00,194.05,228.95,-0.04,23:00,244.70,20567.91,98.72 
2014/1/5,20834.50,0.00,172.54,110.16,0.07,23:00,244.75,20612.18,98.93 
2014/1/6,20834.50,0.00,160.70,221.01,-0.07,23:00,244.70,20567.91,98.72 
2014/1/7,20834.50,0.00,157.85,122.16,0.04,23:00,244.73,20594.46,98.85 
2014/1/8,20834.50,2.80,186.88,219.19,-0.04,23:00,244.70,20567.91,98.72 
2014/1/9,20834.50,0.80,155.60,120.35,0.04,23:00,244.72,20585.61,98.81 
2014/1/10,20834.50,0.10,146.28,215.39,-0.08,23:00,244.65,20523.69,98.51 
2014/1/11,20834.50,0.00,138.84,138.23,0.00,23:00,244.64,20514.86,98.47 
2014/1/12,20834.50,0.20,149.13,209.51,-0.07,23:00,244.58,20461.90,98.21 
2014/1/13,20834.50,0.90,135.64,135.21,0.00,23:00,244.56,20444.27,98.13 
2014/1/14,20834.50,5.20,128.22,197.59,--,23:00,244.52,20409.04,97.96 
2014/1/15,20834.50,0.20,141.87,150.07,-0.01,23:00,244.51,20400.23,97.92 
2014/1/16,20834.50,0.10,155.35,197.59,-0.05,23:00,244.45,20347.47,97.66 
2014/1/17,20834.50,0.00,139.19,154.91,-0.02,23:00,244.41,20312.34,97.49 
2014/1/18,20834.50,0.00,126.23,124.58,0.00,23:00,244.43,20329.90,97.58 
2014/1/19,20834.50,0.00,124.59,184.02,-0.07,23:00,244.33,20242.21,97.16 
2014/1/20,20834.50,0.50,107.31,132.53,-0.03,23:00,244.33,20242.21,97.16 
2014/1/21,20834.50,1.10,119.40,213.66,--,23:00,244.21,20137.30,96.65 
2014/1/22,20834.50,0.00,118.54,134.52,-0.02,23:00,244.19,20119.85,96.57 
2014/1/23,20834.50,0.00,117.16,219.62,-0.12,23:00,244.08,20024.04,96.11 
2014/1/24,20834.50,0.00,89.16,130.54,-0.05,23:00,244.06,20006.65,96.03 
2014/1/25,20834.50,0.00,104.11,256.26,-0.18,23:00,243.83,19807.41,95.07 
2014/1/26,20834.50,0.10,105.24,138.24,-0.04,23:00,243.85,19824.68,95.15 
2014/1/27,20834.50,0.10,108.43,268.88,-0.19,23:00,243.65,19652.37,94.33 
2014/1/28,20834.50,0.00,116.21,165.20,-0.06,23:00,243.59,19600.87,94.08 
2014/1/29,20834.50,0.00,112.75,287.62,-0.21,23:00,243.38,19421.30,93.22 
2014/1/30,20834.50,0.00,109.64,150.07,-0.05,23:00,243.33,19378.70,93.01 
2014/1/31,20834.50,0.00,99.71,273.10,-0.21,23:00,243.11,19191.99,92.12 
2014/2/1,20834.50,0.00,88.30,53.30,0.04,23:00,243.15,19225.85,92.28 
2014/2/2,20834.50,0.00,98.58,279.75,-0.22,23:00,242.94,19048.51,91.43 
2014/2/3,20834.50,0.00,84.07,91.14,-0.01,23:00,242.95,19056.93,91.47 
2014/2/4,20834.50,5.10,92.36,316.82,-0.28,23:00,242.66,18813.71,90.3 
2014/2/5,20940.10,4.40,118.89,159.32,-0.15,23:00,242.56,18730.31,89.45 
2014/2/6,20940.10,0.20,111.45,373.16,-0.22,23:00,242.24,18465.03,88.18 
2014/2/7,20940.10,0.70,101.78,361.32,-0.12,23:00,241.91,18194.02,86.89 
2014/2/8,20940.10,6.00,104.63,193.27,-0.11,23:00,241.81,18112.40,86.5 
2014/2/9,20940.10,43.80,292.03,267.75,0.02,23:00,241.81,18112.40,86.5 
2014/2/10,20940.10,10.30,347.93,63.85,0.35,23:00,242.16,18399.09,87.87 
2014/2/11,20940.10,4.40,226.11,274.66,0.06,23:00,242.12,18366.18,87.71 
2014/2/12,20940.10,2.40,177.12,103.67,0.09,23:00,242.20,18432.04,88.02 
2014/2/13,20940.10,8.40,203.90,317.51,-0.14,23:00,242.07,18325.09,87.51 
2014/2/14,20940.10,9.40,239.67,85.10,0.19,23:00,242.24,18465.03,88.18 
2014/2/15,20940.10,0.50,203.82,333.93,-0.16,23:00,242.10,18349.74,87.63 
2014/2/16,20940.10,0.20,186.36,96.33,0.11,23:00,242.20,18432.04,88.02 
2014/2/17,20940.10,0.00,179.88,357.69,-0.22,23:00,241.98,18251.29,87.16 
2014/2/18,20940.10,1.90,154.31,129.68,0.03,14:00,241.97,18243.10,87.12 
