Date,Storage Capacity(10000m^3),Precipitation(mm),Inflow(10000m^3),Outflow(10000m^3),Water Level Difference(m),Real-Time,Water Level(m),Useful Storage(10000m^3),Storage Ratio(%)
2006/1/1,49159.00,-999.90,15.00,-999.90,--,00:00,216.04,43134.00,87.74 
2006/1/2,49159.00,0.00,15.00,0.00,--,00:00,216.05,43149.00,87.77 
2006/1/3,49159.00,-999.90,29.00,0.00,--,00:00,216.07,43178.00,87.83 
2006/1/4,49159.00,-999.90,15.00,0.00,--,00:00,216.08,43193.00,87.86 
2006/1/5,49159.00,-999.90,15.00,-999.90,--,00:00,216.09,43208.00,87.89 
2006/1/6,49159.00,0.00,22.20,7.20,--,00:00,216.10,43223.00,87.92 
2006/1/7,49159.00,-999.90,14.00,0.00,--,00:00,216.11,43237.00,87.95 
2006/1/8,49159.00,-999.90,15.00,0.00,--,00:00,216.12,43252.00,87.98 
2006/1/9,49159.00,-999.90,15.00,-999.90,--,00:00,216.13,43267.00,88.01 
2006/1/10,49159.00,0.00,15.00,0.00,--,00:00,216.14,43282.00,88.04 
2006/1/11,49159.00,-999.90,21.70,6.70,--,00:00,216.15,43297.00,88.08 
2006/1/12,49159.00,-999.90,14.00,0.00,--,00:00,216.16,43311.00,88.1 
2006/1/13,49159.00,0.00,15.00,0.00,--,00:00,216.17,43326.00,88.13 
2006/1/14,49159.00,0.00,15.00,0.00,--,00:00,216.18,43341.00,88.16 
2006/1/15,49159.00,-999.90,22.20,7.20,--,00:00,216.19,43356.00,88.2 
2006/1/16,49159.00,-999.90,14.00,0.00,--,00:00,216.20,43370.00,88.22 
2006/1/17,49159.00,-999.90,8.20,318.20,--,00:00,215.99,43060.00,87.59 
2006/1/18,49159.00,0.00,23.90,407.90,--,00:00,215.73,42676.00,86.81 
2006/1/19,49159.00,-999.90,18.90,402.90,--,00:00,215.47,42292.00,86.03 
2006/1/20,49159.00,-999.90,16.70,429.70,--,00:00,215.19,41879.00,85.19 
2006/1/21,49159.00,-999.90,18.80,432.80,--,00:00,214.91,41465.00,84.35 
2006/1/22,49159.00,2.90,26.80,425.80,--,00:00,214.64,41066.00,83.54 
2006/1/23,49159.00,9.20,26.50,425.50,--,00:00,214.37,40667.00,82.73 
2006/1/24,49159.00,-999.90,17.00,415.00,--,00:00,214.10,40269.00,81.92 
2006/1/25,49159.00,-999.90,12.30,396.30,--,00:00,213.84,39885.00,81.13 
2006/1/26,49159.00,0.00,15.40,414.40,--,00:00,213.57,39486.00,80.32 
2006/1/27,49159.00,-999.90,9.30,349.30,--,00:00,213.34,39146.00,79.63 
2006/1/28,49159.00,-999.90,12.50,396.50,--,00:00,213.08,38762.00,78.85 
2006/1/29,49159.00,4.50,10.80,423.80,--,00:00,212.80,38349.00,78.01 
2006/1/30,49159.00,3.80,15.10,429.10,--,00:00,212.52,37935.00,77.17 
2006/1/31,49159.00,-999.90,0.08,4.22,--,00:00,212.24,37521.00,76.33 
2006/2/1,49159.00,-999.90,11.80,424.80,--,00:00,211.96,37108.00,75.49 
2006/2/2,49159.00,-999.90,10.00,438.00,--,00:00,211.67,36680.00,74.62 
2006/2/3,49159.00,0.00,6.50,405.50,--,00:00,211.40,36281.00,73.8 
2006/2/4,49159.00,-999.90,6.10,449.10,--,00:00,211.10,35838.00,72.9 
2006/2/5,49159.00,-999.90,5.70,389.70,--,00:00,210.84,35454.00,72.12 
2006/2/6,49159.00,-999.90,3.60,461.60,--,00:00,210.53,34996.00,71.19 
2006/2/7,49159.00,0.00,6.30,435.30,--,00:00,210.24,34567.00,70.32 
2006/2/8,49159.00,-999.90,11.70,452.70,--,00:00,209.93,34126.00,69.42 
2006/2/9,49159.00,-999.90,16.20,431.20,--,00:00,209.61,33729.00,68.61 
2006/2/10,49159.00,-999.90,12.30,410.30,--,00:00,209.29,33331.00,67.8 
2006/2/11,49159.00,0.00,17.60,414.60,--,00:00,208.97,32934.00,66.99 
2006/2/12,49159.00,-999.90,11.00,371.00,--,00:00,208.68,32574.00,66.26 
2006/2/13,49159.00,-999.90,13.20,385.20,--,00:00,208.38,32202.00,65.51 
2006/2/14,49159.00,-999.90,16.60,405.60,--,00:00,208.07,31817.00,64.72 
2006/2/15,49159.00,0.00,17.30,427.30,--,00:00,207.74,31407.00,63.89 
2006/2/16,49159.00,-999.90,12.00,385.00,--,00:00,207.44,31034.00,63.13 
2006/2/17,49159.00,-999.90,11.60,396.60,--,00:00,207.13,30649.00,62.35 
2006/2/18,49159.00,-999.90,12.70,409.70,--,00:00,206.81,30252.00,61.54 
2006/2/19,49159.00,0.00,2.30,399.30,--,00:00,206.49,29855.00,60.73 
2006/2/20,49159.00,-999.90,7.00,429.00,--,00:00,206.15,29433.00,59.87 
2006/2/21,49159.00,-999.90,5.20,402.20,--,00:00,205.83,29036.00,59.07 
2006/2/22,49159.00,-999.90,2.80,375.80,--,00:00,205.53,28663.00,58.31 
2006/2/23,49159.00,0.00,11.60,371.60,--,00:00,205.24,28303.00,57.57 
2006/2/24,49159.00,-999.90,3.00,462.00,--,00:00,204.87,27844.00,56.64 
2006/2/25,49159.00,-999.90,7.40,491.40,--,00:00,204.48,27360.00,55.66 
2006/2/26,49159.00,-999.90,9.80,493.80,--,00:00,204.09,26876.00,54.67 
2006/2/27,49159.00,0.00,6.50,491.50,--,00:00,203.70,26391.00,53.68 
2006/2/28,49159.00,-999.90,7.70,503.70,--,00:00,203.30,25895.00,52.68 
2006/3/1,49159.00,7.90,5.80,502.80,--,00:00,202.90,25398.00,51.67 
2006/3/2,49159.00,-999.90,3.20,512.20,--,00:00,202.49,24889.00,50.63 
2006/3/3,49159.00,0.00,17.00,513.00,--,00:00,202.09,24393.00,49.62 
2006/3/4,49159.00,-999.90,9.00,518.00,--,00:00,201.68,23884.00,48.59 
2006/3/5,49159.00,-999.90,5.10,515.10,--,00:00,201.27,23374.00,47.55 
2006/3/6,49159.00,-999.90,7.00,516.00,--,00:00,200.86,22865.00,46.51 
2006/3/7,49159.00,0.00,11.00,507.00,--,00:00,200.46,22369.00,45.5 
2006/3/8,49159.00,-999.90,5.00,539.00,--,00:00,200.03,21835.00,44.42 
2006/3/9,49159.00,-999.90,11.60,475.60,--,00:00,199.58,21371.00,43.47 
2006/3/10,49159.00,-999.90,13.00,450.00,--,00:00,199.15,20934.00,42.58 
2006/3/11,49159.00,0.00,13.90,461.90,--,00:00,198.71,20486.00,41.67 
2006/3/12,49159.00,-999.90,11.20,458.20,--,00:00,198.27,20039.00,40.76 
2006/3/13,49159.00,-999.90,9.50,467.50,--,00:00,197.82,19581.00,39.83 
2006/3/14,49159.00,3.30,12.10,460.10,--,00:00,197.38,19133.00,38.92 
2006/3/15,49159.00,0.10,4.00,461.00,--,00:00,196.93,18676.00,37.99 
2006/3/16,49159.00,-999.90,5.00,493.00,--,00:00,196.45,18188.00,37 
2006/3/17,49159.00,0.00,10.00,487.00,--,00:00,196.05,17781.00,36.17 
2006/3/18,49159.00,-999.90,6.80,485.80,--,00:00,195.51,17231.00,35.05 
2006/3/19,49159.00,0.00,17.80,485.80,--,00:00,195.05,16763.00,34.1 
2006/3/20,49159.00,-999.90,7.00,505.00,--,00:00,194.56,16265.00,33.09 
2006/3/21,49159.00,2.10,9.50,60.50,--,00:00,194.51,16214.00,32.98 
2006/3/22,49159.00,-999.90,10.00,-999.90,--,00:00,194.52,16224.00,33 
2006/3/23,49159.00,2.20,10.00,0.00,--,00:00,194.53,16234.00,33.02 
2006/3/24,49159.00,16.20,14.80,4.80,--,00:00,194.54,16245.00,33.05 
2006/3/25,49159.00,22.00,21.00,0.00,--,00:00,194.56,16265.00,33.09 
2006/3/26,49159.00,19.40,20.00,-999.90,--,00:00,194.58,16285.00,33.13 
2006/3/27,49159.00,6.80,51.00,0.00,--,00:00,194.63,16336.00,33.23 
2006/3/28,49159.00,10.90,12.80,470.80,--,00:00,194.18,15878.00,32.3 
2006/3/29,49159.00,-999.90,11.90,458.90,--,00:00,193.74,15431.00,31.39 
2006/3/30,49159.00,-999.90,4.20,299.20,--,00:00,193.45,15136.00,30.79 
2006/3/31,49159.00,0.00,15.30,97.30,--,00:00,193.37,15054.00,30.62 
2006/4/1,49159.00,-999.90,21.00,0.00,--,00:00,193.39,15075.00,30.67 
2006/4/2,49159.00,-999.90,20.00,0.00,--,00:00,193.41,15095.00,30.71 
2006/4/3,49159.00,-999.90,20.00,-999.90,--,00:00,193.43,15115.00,30.75 
2006/4/4,49159.00,0.00,15.00,493.00,--,00:00,192.96,14637.00,29.77 
2006/4/5,49159.00,-999.90,9.00,527.00,--,00:00,192.45,14119.00,28.72 
2006/4/6,49159.00,-999.90,6.20,505.20,--,00:00,191.96,13620.00,27.71 
2006/4/7,49159.00,1.30,4.40,492.40,--,00:00,191.48,13132.00,26.71 
2006/4/8,49159.00,0.00,7.20,505.20,--,00:00,190.99,12634.00,25.7 
2006/4/9,49159.00,-999.90,15.80,15.80,--,00:00,190.99,12634.00,25.7 
2006/4/10,49159.00,-999.90,10.00,0.00,--,00:00,191.00,12644.00,25.72 
2006/4/11,49159.00,32.10,51.00,-999.90,--,00:00,191.05,12695.00,25.82 
2006/4/12,49159.00,0.00,17.20,505.20,--,00:00,190.57,12207.00,24.83 
2006/4/13,49159.00,-999.90,7.00,536.00,--,00:00,190.05,11678.00,23.76 
2006/4/14,49159.00,12.90,31.00,237.00,--,00:00,189.80,11472.00,23.34 
2006/4/15,49159.00,-999.90,15.00,-999.90,--,00:00,189.82,11487.00,23.37 
2006/4/16,49159.00,54.40,171.00,0.00,--,00:00,190.03,11658.00,23.71 
2006/4/17,49159.00,-999.90,223.00,0.00,--,00:00,190.25,11881.00,24.17 
2006/4/18,49159.00,-999.90,122.00,0.00,--,00:00,190.37,12003.00,24.42 
2006/4/19,49159.00,-999.90,82.00,-999.90,--,00:00,190.45,12085.00,24.58 
2006/4/20,49159.00,0.00,71.00,0.00,--,00:00,190.52,12156.00,24.73 
2006/4/21,49159.00,-999.90,61.00,0.00,--,00:00,190.58,12217.00,24.85 
2006/4/22,49159.00,-999.90,51.00,0.00,--,00:00,190.63,12268.00,24.96 
2006/4/23,49159.00,-999.90,51.00,-999.90,--,00:00,190.68,12319.00,25.06 
2006/4/24,49159.00,14.00,40.00,0.00,--,00:00,190.72,12359.00,25.14 
2006/4/25,49159.00,7.50,27.00,525.00,--,00:00,190.23,11861.00,24.13 
2006/4/26,49159.00,-999.90,21.20,488.20,--,00:00,189.70,11394.00,23.18 
2006/4/27,49159.00,8.20,7.10,440.10,--,15:00,190.00,12000.00,24.41 
2006/4/28,49159.00,34.50,40.20,427.20,--,00:00,188.64,10572.00,21.51 
2006/4/29,49159.00,-999.90,88.20,297.20,--,00:00,188.39,10378.00,21.11 
2006/4/30,49159.00,-999.90,108.00,0.00,--,00:00,188.53,10486.00,21.33 
2006/5/1,49159.00,1.10,101.00,-999.90,--,00:00,188.66,8961.00,18.23 
2006/5/2,49159.00,0.70,70.00,0.00,--,00:00,188.75,9030.00,18.37 
2006/5/3,49159.00,16.60,123.00,0.00,--,00:00,188.91,9153.00,18.62 
2006/5/4,49159.00,15.20,156.00,0.00,--,00:00,189.11,9309.00,18.94 
2006/5/5,49159.00,4.90,142.00,429.00,--,00:00,188.74,9022.00,18.35 
2006/5/6,49159.00,0.30,97.50,470.50,--,00:00,188.25,8649.00,17.59 
2006/5/7,49159.00,-999.90,76.70,470.70,--,00:00,187.72,8255.00,16.79 
2006/5/8,49159.00,-999.90,78.60,454.60,--,00:00,187.20,7879.00,16.03 
2006/5/9,49159.00,4.30,186.00,441.00,--,00:00,186.84,7624.00,15.51 
2006/5/10,49159.00,0.00,68.90,441.90,--,00:00,186.30,7251.00,14.75 
2006/5/11,49159.00,-999.90,50.70,442.70,--,00:00,185.72,6859.00,13.95 
2006/5/12,49159.00,9.00,52.40,415.40,--,00:00,185.17,6496.00,13.21 
2006/5/13,49159.00,5.00,73.30,422.30,--,00:00,184.63,6147.00,12.5 
2006/5/14,49159.00,16.10,45.90,368.90,--,00:00,184.12,5824.00,11.85 
2006/5/15,49159.00,3.90,84.50,270.50,--,00:00,183.82,5638.00,11.47 
2006/5/16,49159.00,6.20,105.00,0.00,--,00:00,183.99,5743.00,11.68 
2006/5/17,49159.00,27.40,114.00,0.00,--,23:00,184.50,6064.00,12.34 
2006/5/18,49159.00,34.80,375.00,0.00,--,17:00,185.44,6673.00,13.57 
2006/5/19,49159.00,33.20,1014.00,0.00,--,00:00,186.30,7251.00,14.75 
2006/5/20,49159.00,0.00,457.00,0.00,--,00:00,186.96,7708.00,15.68 
2006/5/21,49159.00,0.00,286.00,0.00,--,00:00,187.36,7994.00,16.26 
2006/5/22,49159.00,2.30,225.00,-999.90,--,00:00,187.67,8219.00,16.72 
2006/5/23,49159.00,14.50,348.00,0.00,--,00:00,188.14,8567.00,17.43 
2006/5/24,49159.00,54.80,1147.00,0.00,--,00:00,189.62,9714.00,19.76 
2006/5/25,49159.00,16.60,535.00,-999.90,--,00:00,190.28,10249.00,20.85 
2006/5/26,49159.00,9.30,471.00,0.00,--,00:00,190.85,10720.00,21.81 
2006/5/27,49159.00,-999.90,361.00,0.00,--,00:00,191.28,11081.00,22.54 
2006/5/28,49159.00,-999.90,280.00,0.00,--,00:00,191.61,11361.00,23.11 
2006/5/29,49159.00,71.20,430.00,0.00,--,00:00,192.05,11739.00,23.88 
